Name,UID,Task ID,Parent,Milestone,Action Type,Assigned,Eng hours,Status,Timeline,Depends on,Project
1.1.1 專案章程制定,TrustCase::1.1.1,1.1.1,1.1,1.1 專案啟動與規劃,專案管理與規劃,PM,4,未開始,,,TrustCase
1.1.2 WBS 結構設計,TrustCase::1.1.2,1.1.2,1.1,1.1 專案啟動與規劃,專案管理與規劃,PM,4,未開始,,1.1.1,TrustCase
1.1.3 專案時程規劃,TrustCase::1.1.3,1.1.3,1.1,1.1 專案啟動與規劃,專案管理與規劃,PM,4,未開始,,1.1.2,TrustCase
1.1.4 風險識別與評估,TrustCase::1.1.4,1.1.4,1.1,1.1 專案啟動與規劃,專案管理與規劃,PM/TL,4,未開始,,1.1.3,TrustCase
1.1.5 團隊組建與任務分配,TrustCase::1.1.5,1.1.5,1.1,1.1 專案啟動與規劃,專案管理與規劃,PM,4,未開始,,1.1.4,TrustCase
1.2.1 PRD 文檔審核與確認,TrustCase::1.2.1,1.2.1,1.2,1.2 需求分析與文檔,專案管理與規劃,PO,4,未開始,,1.1.1,TrustCase
1.2.2 使用者故事定義 (MVP 範圍),TrustCase::1.2.2,1.2.2,1.2,1.2 需求分析與文檔,專案管理與規劃,PO,4,未開始,,1.2.1,TrustCase
1.2.3 驗收標準制定,TrustCase::1.2.3,1.2.3,1.2,1.2 需求分析與文檔,專案管理與規劃,PM/PO,4,未開始,,1.2.2,TrustCase
1.2.4 需求變更控制流程,TrustCase::1.2.4,1.2.4,1.2,1.2 需求分析與文檔,專案管理與規劃,PM,2,未開始,,1.2.3,TrustCase
1.3.1 週報告制度建立,TrustCase::1.3.1,1.3.1,1.3,1.3 專案監控與報告,專案管理與規劃,PM,2,未開始,,,TrustCase
1.3.2 進度追蹤機制設立,TrustCase::1.3.2,1.3.2,1.3,1.3 專案監控與報告,專案管理與規劃,PM,2,未開始,,1.3.1,TrustCase
1.3.3 里程碑審查機制,TrustCase::1.3.3,1.3.3,1.3,1.3 專案監控與報告,專案管理與規劃,PM,2,未開始,,週期性,TrustCase
2.1.1 技術選型確認 (NestJS/Next.js/PostgreSQL),TrustCase::2.1.1,2.1.1,2.1,2.1 技術架構設計,系統架構與設計,TL,4,未開始,,1.2.1,TrustCase
2.1.2 系統架構設計 (Microservices),TrustCase::2.1.2,2.1.2,2.1,2.1 技術架構設計,系統架構與設計,TL,8,未開始,,2.1.1,TrustCase
2.1.3 模組化設計規劃,TrustCase::2.1.3,2.1.3,2.1,2.1 技術架構設計,系統架構與設計,TL,4,未開始,,2.1.2,TrustCase
2.1.4 部署架構設計 (Docker/K8s),TrustCase::2.1.4,2.1.4,2.1,2.1 技術架構設計,系統架構與設計,TL,4,未開始,,2.1.3,TrustCase
2.2.1 ER 圖設計,TrustCase::2.2.1,2.2.1,2.2,2.2 資料庫設計,系統架構與設計,BE,8,未開始,,2.1.2,TrustCase
