屬性,類型,狀態,發想者,可行性
影視票房預測,"價格預測, 市場行銷, 電影票房",發想中,Sunny,High
精準農業之普洱茶價格預測,價格預測,發想中,Sunny,High
透過發文內容辨識男女身份,客群分析,執行中,Sunny,High
人力銀行風口職缺即時預測,客群分析,執行中,Sunny,High
文本分析預測心理學MBTI人格和犯罪預防,心理預測,執行中,Sunny,Mid
台灣股市飆股名單與漲跌天數預測,"價格預測, 商業發展",執行中,Sunny,
天氣預測地震,自然災害,發想中,Yuhe Xiong,
天氣因子預測交通事故,"大眾運輸, 天氣預測, 市場行銷",發想中,Noah,
World Happiness Report,國際議題,發想中,Yuhe Xiong,
Instagram KOL業配 AI推薦,市場行銷,發想中,Sunny,
筆記型電腦輿情分析進行口碑預測,"客群分析, 市場行銷",發想中,Sunny,
蘇富比畫作拍賣價格預測,價格預測,發想中,Sunny,
透過網路行為進行渣男預測,心理預測,發想中,Sunny,
大台北餐飲業倒閉預測,行為預測,發想中,Sunny,
透過網路留言預測流感高峰期,行為預測,發想中,Sunny,
心電圖之死亡率預測,行為預測,發想中,Sunny,
塑料兄弟情檢測器,"心理預測, 行為預測",發想中,KevinH,
氣候變遷 地表溫度分析,"天氣預測, 自然災害",發想中,Yuhe Xiong,
香菇分類,生物識別,發想中,Yuhe Xiong,
Covid-19確診預測,行為預測,發想中,Yuhe Xiong,
田間智慧管理系統,"商業發展, 天氣預測, 技術分析",發想中,Noah,
生魚片還原魚種辨識,生物識別,發想中,Sunny,
判定網紅課程是否準備割韭菜！,客群分析,發想中,Sunny,
台灣電力使用量預測,價格預測,執行中,Noah,
"太陽能 x 數據分析 ","價格預測, 國際議題",發想中,Noah,
圖片辨識商標,"商業發展, 文本辨識",發想中,meng,
影視作品聲量與旅遊選擇,"心理預測, 行為預測, 電影票房",發想中,Lucien,
天氣與交通運輸選擇預測,"大眾運輸, 自然災害",發想中,Lucien,
天氣與空氣品質預測,自然災害,執行中,Lucien,
Suicide Ideation Detection Using NLP Analysis,"心理預測, 文本辨識, 行為預測",發想中,Yuhe Xiong,
小說&漫畫,"文本辨識, 生物識別",發想中,KevinH,
皇帝的荒淫程度預測王朝壽命,國際議題,發想中,KevinH,
透過輸入每日飲食與運動量預測體態發展,生物識別,,KevinH,
交通易達性 + !@#$%,大眾運輸,發想中,Lucien,
,,,,
